recommender_count,pages
8,352.0
2,256.0
2,256.0
1,96.0
1,560.0
1,272.0
4,320.0
1,173.0
1,240.0
1,138.0
1,656.0
5,648.0
1,438.0
4,400.0
1,96.0
1,506.0
1,464.0
1,224.0
1,102.0
1,240.0
1,400.0
1,210.0
1,548.0
1,224.0
1,306.0
1,100.0
1,752.0
1,324.0
5,423.0
2,416.0
1,274.0
1,312.0
1,636.0
1,400.0
1,384.0
1,320.0
1,1152.0
1,400.0
1,305.0
1,1060.0
1,192.0
1,81.0
2,224.0
2,624.0
2,272.0
1,864.0
1,496.0
1,117.0
1,288.0
1,247.0
1,600.0
6,336.0
1,314.0
1,416.0
1,416.0
1,600.0
1,578.0
1,
1,
1,
1,305.0
1,401.0
1,528.0
1,736.0
1,
1,8.0
1,72.0
1,736.0
1,384.0
1,96.0
1,400.0
1,153.0
1,300.0
1,263.0
1,352.0
2,336.0
2,384.0
2,313.0
1,1193.0
1,384.0
5,1171.0
1,672.0
2,619.0
1,464.0
1,109.0
1,341.0
1,286.0
1,413.0
1,231.0
1,246.0
1,228.0
1,212.0
3,144.0
1,208.0
1,128.0
3,624.0
1,800.0
1,352.0
1,467.0
1,352.0
1,973.0
1,272.0
3,514.0
1,336.0
1,560.0
3,419.0
1,240.0
1,160.0
1,528.0
1,224.0
1,552.0
1,128.0
1,165.0
1,304.0
1,606.0
1,395.0
1,256.0
1,275.0
1,224.0
1,320.0
1,191.0
1,
1,272.0
1,128.0
1,192.0
1,240.0
1,522.0
1,208.0
1,427.0
3,432.0
1,272.0
2,528.0
1,292.0
1,464.0
1,544.0
1,356.0
1,304.0
1,32.0
3,417.0
1,344.0
1,288.0
1,312.0
2,188.0
1,480.0
1,304.0
1,400.0
1,172.0
1,368.0
1,416.0
1,416.0
1,206.0
1,333.0
1,448.0
1,416.0
1,368.0
1,299.0
1,832.0
1,32.0
2,72.0
1,88.0
1,272.0
1,220.0
1,496.0
1,688.0
1,352.0
1,340.0
1,344.0
1,422.0
1,575.0
1,336.0
1,307.0
1,289.0
1,483.0
1,384.0
1,368.0
1,784.0
1,704.0
4,184.0
3,323.0
1,340.0
1,37.0
1,510.0
1,280.0
2,448.0
1,177.0
1,460.0
1,336.0
1,325.0
1,96.0
1,630.0
1,878.0
1,1137.0
1,568.0
1,560.0
1,632.0
4,110.0
4,896.0
1,448.0
1,816.0
1,148.0
1,194.0
1,108.0
1,240.0
5,519.0
1,320.0
1,416.0
1,448.0
1,336.0
1,305.0
1,784.0
2,60.0
1,561.0
1,880.0
1,198.0
1,315.0
1,144.0
1,275.0
1,704.0
1,336.0
1,384.0
1,85.0
12,1168.0
1,306.0
1,669.0
1,308.0
1,464.0
1,97.0
1,336.0
5,480.0
1,304.0
1,264.0
2,544.0
1,336.0
1,224.0
1,339.0
3,184.0
1,48.0
1,311.0
1,405.0
1,63.0
1,352.0
1,400.0
3,304.0
1,504.0
1,304.0
1,464.0
1,256.0
1,528.0
1,524.0
1,608.0
1,
1,952.0
1,260.0
3,292.0
1,320.0
2,448.0
8,464.0
1,304.0
1,223.0
4,800.0
2,288.0
3,304.0
1,416.0
1,640.0
1,416.0
1,368.0
1,226.0
1,845.0
7,608.0
1,256.0
1,240.0
1,240.0
1,747.0
2,176.0
1,320.0
1,320.0
1,193.0
1,264.0
1,188.0
1,199.0
1,300.0
1,336.0
1,224.0
1,305.0
1,208.0
2,400.0
1,265.0
1,336.0
7,304.0
1,180.0
1,48.0
1,352.0
2,368.0
1,624.0
1,580.0
1,300.0
1,252.0
1,24.0
1,624.0
2,320.0
4,320.0
1,368.0
1,176.0
1,624.0
2,544.0
1,420.0
1,352.0
2,224.0
1,288.0
2,656.0
1,288.0
1,688.0
1,368.0
1,240.0
4,224.0
1,304.0
1,287.0
2,304.0
2,283.0
1,331.0
2,304.0
2,160.0
1,
1,224.0
5,272.0
1,224.0
1,240.0
1,320.0
2,236.0
1,236.0
1,240.0
1,448.0
1,192.0
1,304.0
1,273.0
1,352.0
1,480.0
1,378.0
1,312.0
1,127.0
1,512.0
1,240.0
1,288.0
1,462.0
1,352.0
2,368.0
1,528.0
1,440.0
1,468.0
3,464.0
1,336.0
2,288.0
1,317.0
1,304.0
1,285.0
2,
1,286.0
1,160.0
1,370.0
1,224.0
1,703.0
2,364.0
1,576.0
1,438.0
1,160.0
1,416.0
1,816.0
1,296.0
1,208.0
1,240.0
1,479.0
1,208.0
1,251.0
1,304.0
1,415.0
1,180.0
1,639.0
1,250.0
1,348.0
1,196.0
1,288.0
1,244.0
1,224.0
1,436.0
1,304.0
1,348.0
1,400.0
2,258.0
1,624.0
1,71.0
1,268.0
1,242.0
1,1152.0
1,96.0
1,336.0
1,144.0
1,192.0
1,258.0
1,416.0
1,272.0
1,496.0
1,560.0
1,225.0
1,182.0
1,272.0
1,250.0
1,272.0
2,608.0
1,352.0
1,320.0
3,656.0
2,182.0
1,309.0
1,234.0
1,317.0
1,206.0
1,816.0
1,176.0
1,541.0
1,392.0
2,544.0
1,352.0
2,336.0
1,309.0
1,304.0
1,256.0
1,281.0
1,294.0
1,468.0
1,222.0
1,140.0
1,114.0
2,396.0
1,320.0
1,240.0
1,288.0
1,208.0
1,344.0
1,368.0
1,230.0
1,
1,143.0
3,368.0
3,272.0
1,368.0
4,256.0
1,312.0
1,288.0
2,160.0
1,320.0
2,928.0
1,912.0
1,387.0
2,214.0
1,186.0
1,400.0
1,315.0
2,475.0
1,
2,240.0
1,416.0
1,304.0
2,304.0
1,160.0
1,356.0
1,298.0
1,432.0
1,585.0
1,280.0
1,480.0
1,400.0
1,331.0
1,320.0
2,104.0
1,592.0
1,534.0
1,224.0
1,320.0
2,336.0
1,364.0
1,775.0
1,400.0
1,275.0
3,336.0
1,304.0
4,272.0
1,331.0
1,941.0
2,768.0
1,384.0
1,255.0
3,400.0
1,368.0
1,256.0
1,304.0
1,991.0
1,400.0
1,380.0
1,422.0
1,301.0
1,338.0
1,222.0
1,65.0
1,224.0
1,224.0
1,264.0
1,152.0
1,296.0
1,258.0
1,552.0
1,424.0
1,245.0
1,239.0
1,224.0
1,432.0
1,240.0
1,272.0
1,
1,496.0
2,216.0
2,202.0
1,576.0
1,558.0
3,208.0
1,159.0
1,320.0
1,252.0
1,352.0
1,192.0
1,260.0
2,272.0
1,232.0
1,566.0
1,272.0
11,896.0
2,352.0
1,318.0
1,
1,544.0
1,1600.0
3,608.0
1,512.0
1,349.0
1,272.0
1,368.0
1,420.0
2,222.0
1,800.0
1,
2,400.0
1,116.0
2,256.0
1,312.0
6,704.0
2,140.0
1,416.0
1,950.0
1,20.0
1,776.0
1,361.0
1,320.0
1,144.0
1,371.0
1,288.0
1,432.0
1,600.0
1,281.0
3,368.0
2,384.0
1,256.0
1,1408.0
3,448.0
1,448.0
4,416.0
1,240.0
1,453.0
2,240.0
1,232.0
1,178.0
1,552.0
1,427.0
5,576.0
1,296.0
1,338.0
1,352.0
1,312.0
1,134.0
1,256.0
1,190.0
1,240.0
1,269.0
1,128.0
2,272.0
2,704.0
1,181.0
1,464.0
1,69.0
1,316.0
1,320.0
1,192.0
1,272.0
1,254.0
1,208.0
1,448.0
1,256.0
2,469.0
1,221.0
1,208.0
1,445.0
1,608.0
2,321.0
3,300.0
1,512.0
1,
1,208.0
1,272.0
4,352.0
1,195.0
1,208.0
1,176.0
1,512.0
1,256.0
1,896.0
1,208.0
1,234.0
1,304.0
1,480.0
1,
1,362.0
1,390.0
1,324.0
1,101.0
2,224.0
1,288.0
1,480.0
1,140.0
1,179.0
1,303.0
1,283.0
1,528.0
1,279.0
1,464.0
1,400.0
1,200.0
1,417.0
1,160.0
1,514.0
1,224.0
1,464.0
1,256.0
1,768.0
5,256.0
1,399.0
1,27.0
1,624.0
1,277.0
2,304.0
1,330.0
1,224.0
1,320.0
1,336.0
7,368.0
2,501.0
1,302.0
1,320.0
1,276.0
1,320.0
1,389.0
1,464.0
1,656.0
4,240.0
1,528.0
2,304.0
1,450.0
1,318.0
4,488.0
1,430.0
1,214.0
1,528.0
1,224.0
1,192.0
1,252.0
3,336.0
1,912.0
1,96.0
1,338.0
1,256.0
1,789.0
1,128.0
1,208.0
1,432.0
3,496.0
1,304.0
1,288.0
1,729.0
1,512.0
1,561.0
1,352.0
1,336.0
1,192.0
2,248.0
1,320.0
1,336.0
1,176.0
1,560.0
2,528.0
1,168.0
1,496.0
1,197.0
1,160.0
1,292.0
1,258.0
1,224.0
1,544.0
4,352.0
1,344.0
1,532.0
3,368.0
1,96.0
2,336.0
1,237.0
1,256.0
2,384.0
1,208.0
4,352.0
1,348.0
2,202.0
5,200.0
1,240.0
1,288.0
1,272.0
1,257.0
1,238.0
9,307.0
1,189.0
1,307.0
1,326.0
1,251.0
1,248.0
1,32.0
1,432.0
1,300.0
1,132.0
2,556.0
1,240.0
1,288.0
1,557.0
3,609.0
1,96.0
1,
7,320.0
1,30.0
2,418.0
1,294.0
1,200.0
1,512.0
1,64.0
1,1336.0
2,
1,64.0
1,528.0
1,208.0
1,128.0
2,464.0
1,664.0
1,328.0
1,
1,344.0
1,272.0
7,528.0
1,192.0
3,832.0
1,520.0
4,198.0
1,256.0
1,89.0
1,168.0
1,296.0
1,160.0
2,127.0
1,262.0
1,170.0
1,56.0
1,304.0
1,368.0
1,224.0
1,426.0
1,594.0
1,416.0
1,448.0
1,320.0
5,448.0
1,307.0
1,254.0
1,208.0
1,184.0
1,142.0
1,320.0
1,334.0
1,
1,93.0
1,252.0
1,327.0
1,304.0
1,688.0
1,402.0
1,
10,272.0
4,288.0
1,190.0
1,160.0
3,
1,728.0
1,594.0
1,1968.0
1,432.0
1,288.0
1,516.0
1,299.0
1,315.0
1,198.0
4,464.0
1,220.0
1,374.0
1,284.0
1,256.0
1,160.0
1,416.0
1,528.0
1,709.0
1,368.0
1,240.0
1,272.0
2,320.0
1,252.0
1,320.0
1,32.0
1,352.0
1,416.0
1,240.0
3,480.0
1,
1,111.0
11,320.0
1,64.0
1,480.0
1,
1,105.0
1,496.0
2,313.0
9,480.0
1,1056.0
1,272.0
1,256.0
1,
2,240.0
1,352.0
2,144.0
2,400.0
1,264.0
1,203.0
2,287.0
1,426.0
1,183.0
1,183.0
2,278.0
1,345.0
1,368.0
1,242.0
1,
1,67.0
1,252.0
1,456.0
1,688.0
1,46.0
1,
1,320.0
1,256.0
1,270.0
1,256.0
1,288.0
1,290.0
1,142.0
2,592.0
1,368.0
1,480.0
1,384.0
1,236.0
1,400.0
1,912.0
1,288.0
1,208.0
1,320.0
1,38.0
1,287.0
1,472.0
1,365.0
1,76.0
1,104.0
1,118.0
1,336.0
1,240.0
1,400.0
1,455.0
2,400.0
2,288.0
1,302.0
1,194.0
1,144.0
1,216.0
1,320.0
1,256.0
2,396.0
1,256.0
1,336.0
1,246.0
2,396.0
1,240.0
1,171.0
1,128.0
1,32.0
1,864.0
2,432.0
1,427.0
1,160.0
1,240.0
1,232.0
1,336.0
1,320.0
1,240.0
1,
1,48.0
1,304.0
1,296.0
1,318.0
1,1104.0
1,384.0
1,352.0
9,336.0
1,400.0
1,352.0
1,272.0
1,225.0
1,112.0
1,779.0
1,400.0
1,320.0
1,256.0
1,
1,379.0
1,472.0
1,220.0
1,587.0
1,896.0
1,352.0
1,240.0
1,581.0
1,
2,286.0
1,181.0
1,1024.0
1,458.0
1,317.0
1,240.0
1,208.0
1,320.0
1,128.0
1,
1,224.0
1,586.0
1,496.0
1,106.0
1,
1,128.0
1,157.0
1,320.0
1,133.0
1,368.0
1,172.0
1,380.0
1,352.0
1,352.0
1,384.0
1,512.0
1,288.0
1,224.0
5,144.0
1,1024.0
1,453.0
1,256.0
1,304.0
1,144.0
1,230.0
1,430.0
1,448.0
2,288.0
3,352.0
1,231.0
1,214.0
1,224.0
1,495.0
1,339.0
1,536.0
1,340.0
1,220.0
1,320.0
1,352.0
2,896.0
2,320.0
1,448.0
1,400.0
1,106.0
1,260.0
1,352.0
1,592.0
1,134.0
1,160.0
2,240.0
2,288.0
1,199.0
1,252.0
1,430.0
1,416.0
1,240.0
1,400.0
1,288.0
1,352.0
1,122.0
1,368.0
2,184.0
1,186.0
1,592.0
2,624.0
1,128.0
1,312.0
4,414.0
1,
1,116.0
3,128.0
1,400.0
4,176.0
2,256.0
1,223.0
1,261.0
1,370.0
1,340.0
1,535.0
4,384.0
1,261.0
1,288.0
2,257.0
1,256.0
1,344.0
1,368.0
1,132.0
1,188.0
1,279.0
1,304.0
1,363.0
1,360.0
1,686.0
1,400.0
1,164.0
1,400.0
1,254.0
1,160.0
1,118.0
1,528.0
1,140.0
1,288.0
1,208.0
2,256.0
1,352.0
2,336.0
1,
2,
2,784.0
2,208.0
2,483.0
2,304.0
2,304.0
3,256.0
1,80.0
1,105.0
1,280.0
1,288.0
1,304.0
1,32.0
1,272.0
2,224.0
1,
1,84.0
1,79.0
1,292.0
1,176.0
5,108.0
1,266.0
2,272.0
1,600.0
1,
1,346.0
1,336.0
1,237.0
1,136.0
1,528.0
1,16.0
1,200.0
1,512.0
1,432.0
1,400.0
1,256.0
1,248.0
1,288.0
1,249.0
1,448.0
22,168.0
1,297.0
1,243.0
1,448.0
1,256.0
1,253.0
1,843.0
1,
1,564.0
1,369.0
1,148.0
1,
1,416.0
1,800.0
2,339.0
1,448.0
4,176.0
3,612.0
1,98.0
1,
1,272.0
1,624.0
1,598.0
1,336.0
1,272.0
1,198.0
1,213.0
1,426.0
1,288.0
1,224.0
6,320.0
1,448.0
2,194.0
1,112.0
1,161.0
7,256.0
1,304.0
1,237.0
1,448.0
1,96.0
2,448.0
1,607.0
1,156.0
1,224.0
1,176.0
1,216.0
1,344.0
1,190.0
1,333.0
1,368.0
1,880.0
2,256.0
1,400.0
1,372.0
1,400.0
1,
2,647.0
1,384.0
1,576.0
1,320.0
1,292.0
1,506.0
1,143.0
1,240.0
1,288.0
1,303.0
1,359.0
1,144.0
1,288.0
1,
1,224.0
1,292.0
6,277.0
1,304.0
1,272.0
1,75.0
1,416.0
1,366.0
1,545.0
1,415.0
1,256.0
1,425.0
1,432.0
1,250.0
1,1072.0
1,288.0
1,880.0
1,2440.0
1,296.0
1,1464.0
1,872.0
1,92.0
1,320.0
1,600.0
1,304.0
1,320.0
3,307.0
1,189.0
1,249.0
1,352.0
1,450.0
1,496.0
1,352.0
1,
1,352.0
1,192.0
1,464.0
1,224.0
3,447.0
1,194.0
1,3.0
2,984.0
3,464.0
1,300.0
1,656.0
1,312.0
1,352.0
1,345.0
1,60.0
2,352.0
1,300.0
1,
1,256.0
1,204.0
1,
1,384.0
1,254.0
1,400.0
1,352.0
1,304.0
1,480.0
1,136.0
1,574.0
1,352.0
2,396.0
1,352.0
1,208.0
1,256.0
1,422.0
1,178.0
1,320.0
1,371.0
3,352.0
1,316.0
1,320.0
1,400.0
1,288.0
1,288.0
1,192.0
1,304.0
1,
1,144.0
1,384.0
1,70.0
1,470.0
1,224.0
1,368.0
1,368.0
1,320.0
1,617.0
1,896.0
1,260.0
1,336.0
1,352.0
1,256.0
1,512.0
1,245.0
1,445.0
1,232.0
4,264.0
2,435.0
1,288.0
1,288.0
1,304.0
1,224.0
1,336.0
1,77.0
1,316.0
1,554.0
1,275.0
1,293.0
1,398.0
1,230.0
1,80.0
1,71.0
3,224.0
2,64.0
1,304.0
1,288.0
1,448.0
1,96.0
1,80.0
1,624.0
1,96.0
1,303.0
1,240.0
1,896.0
1,237.0
1,114.0
2,124.0
2,224.0
1,120.0
3,272.0
1,413.0
1,288.0
1,752.0
1,288.0
3,308.0
1,240.0
1,195.0
2,384.0
1,256.0
2,258.0
1,344.0
3,307.0
1,304.0
5,112.0
1,1312.0
1,320.0
1,464.0
1,372.0
1,320.0
1,237.0
4,512.0
1,48.0
1,377.0
1,224.0
1,510.0
1,256.0
1,420.0
1,319.0
1,384.0
1,336.0
1,230.0
3,240.0
1,348.0
5,456.0
1,336.0
1,240.0
1,216.0
1,149.0
1,187.0
1,384.0
2,382.0
1,588.0
1,368.0
7,336.0
1,384.0
1,544.0
1,402.0
1,848.0
1,341.0
2,336.0
1,432.0
2,521.0
1,349.0
1,282.0
1,240.0
1,384.0
6,320.0
1,264.0
1,288.0
1,490.0
1,512.0
1,24.0
1,28.0
1,24.0
1,28.0
1,183.0
1,320.0
1,320.0
2,312.0
1,384.0
1,190.0
1,946.0
1,318.0
1,272.0
1,
1,1088.0
1,546.0
1,400.0
1,256.0
1,640.0
1,680.0
1,368.0
1,351.0
1,336.0
1,240.0
1,303.0
1,512.0
1,620.0
1,384.0
1,480.0
1,688.0
1,503.0
1,317.0
1,544.0
3,285.0
1,640.0
1,352.0
2,978.0
1,352.0
2,368.0
1,
1,208.0
1,480.0
1,203.0
1,272.0
1,308.0
3,168.0
1,288.0
1,351.0
1,464.0
1,368.0
1,658.0
1,304.0
1,320.0
1,208.0
2,144.0
1,479.0
1,296.0
1,213.0
1,349.0
1,336.0
1,192.0
1,368.0
1,292.0
1,262.0
1,960.0
1,173.0
2,256.0
2,152.0
1,150.0
1,407.0
2,343.0
2,368.0
1,384.0
1,288.0
1,512.0
1,256.0
1,752.0
1,417.0
1,261.0
1,318.0
17,592.0
1,694.0
1,746.0
1,423.0
1,214.0
1,288.0
2,168.0
1,544.0
1,378.0
1,
1,138.0
1,98.0
1,448.0
